,,ACW_50,ACW_0,ACW_Nadir
sub-066P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 8.0, 4.0]","[2.0, 2.0, 8.0, 4.0]"
sub-066P,limbic,"[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 2.0]"
sub-067P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 6.0, 6.0, 6.0]","[2.0, 6.0, 2.0, 6.0]"
sub-067P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 4.0, 4.0, 2.0, 12.0, 4.0, 2.0, 2.0, 4.0]","[6.0, 6.0, 4.0, 4.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0]"
sub-067P,motor,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 6.0, 6.0]","[8.0, 8.0, 8.0, 8.0]"
sub-067P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 2.0, 8.0, 4.0]","[4.0, 4.0, 6.0, 2.0, 8.0, 8.0]"
sub-067P,fpn,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 8.0, 4.0]","[2.0, 2.0, 4.0, 4.0]"
sub-067P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 2.0]","[2.0, 2.0, 4.0, 4.0]"
sub-067P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 2.0, 2.0]"
sub-075P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 10.0, 4.0, 10.0]","[4.0, 12.0, 12.0, 4.0]"
sub-075P,visual,"[4.0, 2.0, 2.0, 2.0, 6.0, 4.0, 2.0, 2.0, 2.0, 4.0]","[14.0, 12.0, 4.0, 4.0, 14.0, 14.0, 8.0, 12.0, 12.0, 12.0]","[18.0, 12.0, 4.0, 4.0, 24.0, 24.0, 4.0, 4.0, 4.0, 18.0]"
sub-075P,motor,"[2.0, 4.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 4.0]","[12.0, 10.0, 12.0, 4.0]"
sub-075P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 6.0, 6.0, 6.0, 4.0]","[4.0, 8.0, 8.0, 8.0, 8.0, 10.0]"
sub-075P,fpn,"[2.0, 2.0, 2.0, 4.0]","[8.0, 8.0, 10.0, 6.0]","[4.0, 4.0, 12.0, 10.0]"
sub-075P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 2.0, 2.0]","[4.0, 4.0, 2.0, 2.0]"
sub-075P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
